Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
GA_Multiple_Runs_128times_7,221,3,1.36,3,0,0,6.59,18.01,431.16,1.90
GA_Multiple_Runs_128times_7,221,4,1.81,2,2,0,41.04,87.37,422.42,1.90
GA_Multiple_Runs_128times_7,221,2,0.90,2,0,0,1.32,2.52,397.09,1.90
GA_Multiple_Runs_128times_7,221,3,1.36,2,0,1,54.04,158.35,385.27,1.90
GA_Multiple_Runs_128times_7,221,4,1.81,3,0,1,41.35,158.38,352.78,1.90
GA_Multiple_Runs_128times_7,221,12,5.43,6,4,2,43.93,129.78,333.53,1.90
GA_Multiple_Runs_128times_7,221,7,3.17,4,3,0,36.22,104.46,326.52,1.90
GA_Multiple_Runs_128times_7,221,7,3.17,7,0,0,2.09,4.57,304.10,1.90
GA_Multiple_Runs_128times_7,221,10,4.52,6,1,3,79.69,256.65,291.34,1.90
GA_Multiple_Runs_128times_7,221,21,9.50,15,4,2,29.78,132.35,292.49,1.90
GA_Multiple_Runs_128times_7,221,17,7.69,7,4,6,90.09,209.58,277.87,1.90
GA_Multiple_Runs_128times_7,221,26,11.76,11,10,5,57.78,127.19,262.28,1.90
GA_Multiple_Runs_128times_7,221,21,9.50,15,3,3,42.10,169.73,260.01,1.90
GA_Multiple_Runs_128times_7,221,36,16.29,21,12,3,36.97,138.70,253.82,1.90
GA_Multiple_Runs_128times_7,221,39,17.65,22,16,1,36.06,110.53,247.97,1.90
GA_Multiple_Runs_128times_7,221,75,33.94,32,43,0,31.32,88.27,242.91,1.90
GA_Multiple_Runs_128times_7,221,59,26.70,18,36,5,52.19,114.69,225.33,1.90
GA_Multiple_Runs_128times_7,221,87,39.37,31,48,8,49.74,112.80,219.10,1.90
GA_Multiple_Runs_128times_7,221,94,42.53,34,49,11,52.39,128.93,208.07,1.90
GA_Multiple_Runs_128times_7,221,105,47.51,20,76,9,58.71,120.02,201.83,1.90
GA_Multiple_Runs_128times_7,221,105,47.51,39,53,13,50.64,161.24,197.34,1.90
GA_Multiple_Runs_128times_8,253,31,12.25,7,17,7,55.43,122.60,700.00,2.37
GA_Multiple_Runs_128times_8,253,35,13.83,14,21,0,35.13,74.07,690.20,2.37
GA_Multiple_Runs_128times_8,253,24,9.49,6,10,8,79.53,170.37,675.20,2.37
GA_Multiple_Runs_128times_8,253,28,11.07,9,19,0,40.10,99.58,667.33,2.37
GA_Multiple_Runs_128times_8,253,26,10.28,8,12,6,48.35,159.32,654.51,2.37
GA_Multiple_Runs_128times_8,253,42,16.60,14,27,1,39.81,98.25,635.53,2.37
GA_Multiple_Runs_128times_8,253,9,3.56,0,5,4,124.03,210.47,630.93,2.37
GA_Multiple_Runs_128times_8,253,57,22.53,14,43,0,37.22,92.39,619.05,2.37
GA_Multiple_Runs_128times_8,253,14,5.53,3,5,6,104.20,225.75,595.71,2.37
GA_Multiple_Runs_128times_8,253,33,13.04,8,18,7,66.76,132.92,579.81,2.37
GA_Multiple_Runs_128times_8,253,35,13.83,10,23,2,46.30,119.34,569.33,2.37
GA_Multiple_Runs_128times_8,253,38,15.02,10,19,9,65.63,132.13,548.30,2.37
GA_Multiple_Runs_128times_8,253,59,23.32,11,26,22,89.49,165.50,542.79,2.37
GA_Multiple_Runs_128times_8,253,53,20.95,17,30,6,44.84,111.10,517.16,2.37
GA_Multiple_Runs_128times_8,253,52,20.55,13,34,5,56.71,139.67,506.79,2.37
GA_Multiple_Runs_128times_8,253,94,37.15,37,56,1,41.18,105.03,502.04,2.37
GA_Multiple_Runs_128times_8,253,82,32.41,23,52,7,55.13,128.36,480.95,2.37
GA_Multiple_Runs_128times_8,253,55,21.74,20,15,20,82.05,188.37,468.41,2.37
GA_Multiple_Runs_128times_8,253,57,22.53,11,36,10,68.40,158.60,454.47,2.37
GA_Multiple_Runs_128times_8,253,59,23.32,10,27,22,96.30,181.83,442.71,2.37
GA_Multiple_Runs_128times_8,253,53,20.95,12,25,16,81.30,169.56,427.66,2.37
GA_Multiple_Runs_128times_8,253,52,20.55,15,18,19,80.43,167.00,419.95,2.37
GA_Multiple_Runs_128times_8,253,85,33.60,24,13,48,116.51,248.86,415.73,2.37
GA_Multiple_Runs_128times_8,253,91,35.97,9,69,13,72.85,156.26,393.34,2.37
GA_Multiple_Runs_128times_8,253,73,28.85,19,15,39,109.07,235.72,380.73,2.37
GA_Multiple_Runs_128times_8,253,81,32.02,16,25,40,101.87,204.09,361.51,2.37
GA_Multiple_Runs_128times_8,253,102,40.32,28,36,38,89.65,204.19,353.25,2.37
GA_Multiple_Runs_128times_8,253,111,43.87,18,56,37,85.36,205.75,351.00,2.37
GA_Multiple_Runs_128times_8,253,95,37.55,29,4,62,199.02,386.79,327.00,2.37
GA_Multiple_Runs_128times_8,253,103,40.71,19,7,77,147.81,259.93,307.54,2.37
GA_Multiple_Runs_128times_8,253,118,46.64,7,24,87,155.39,284.23,281.74,2.37
GA_Multiple_Runs_128times_8,253,117,46.25,9,11,97,185.10,303.72,255.74,2.37
GA_Multiple_Runs_128times_8,253,127,50.20,13,6,108,208.65,333.93,237.01,2.37
GA_Multiple_Runs_128times_8,253,123,48.62,16,3,104,243.99,348.29,218.38,2.37
GA_Multiple_Runs_128times_8,253,146,57.71,24,19,103,232.18,398.19,211.22,2.37
GA_Multiple_Runs_128times_8,253,142,56.13,21,13,108,288.26,450.72,203.71,2.37
GA_Multiple_Runs_128times_9,242,3,1.24,2,1,0,11.24,19.77,700.00,2.08
GA_Multiple_Runs_128times_9,242,8,3.31,5,3,0,15.54,29.58,686.12,2.08
GA_Multiple_Runs_128times_9,242,11,4.55,4,7,0,36.36,95.17,680.16,2.08
GA_Multiple_Runs_128times_9,242,12,4.96,5,7,0,32.16,92.66,668.28,2.08
GA_Multiple_Runs_128times_9,242,12,4.96,5,7,0,37.15,86.89,651.06,2.08
GA_Multiple_Runs_128times_9,242,16,6.61,9,7,0,24.88,75.58,645.20,2.08
GA_Multiple_Runs_128times_9,242,4,1.65,1,3,0,72.36,112.19,613.01,2.08
GA_Multiple_Runs_128times_9,242,6,2.48,3,3,0,44.36,95.49,610.81,2.08
GA_Multiple_Runs_128times_9,242,11,4.55,6,4,1,45.70,141.60,596.88,2.08
GA_Multiple_Runs_128times_9,242,9,3.72,7,1,1,23.96,140.15,577.13,2.08
GA_Multiple_Runs_128times_9,242,9,3.72,5,2,2,38.81,147.03,557.57,2.08
GA_Multiple_Runs_128times_9,242,20,8.26,6,14,0,49.54,100.68,549.27,2.08
GA_Multiple_Runs_128times_9,242,12,4.96,5,3,4,63.59,140.84,532.85,2.08
GA_Multiple_Runs_128times_9,242,9,3.72,4,5,0,35.88,96.78,514.65,2.08
GA_Multiple_Runs_128times_9,242,21,8.68,13,8,0,24.52,92.62,487.74,2.08
GA_Multiple_Runs_128times_9,242,22,9.09,10,10,2,39.06,123.30,466.00,2.08
GA_Multiple_Runs_128times_9,242,30,12.40,11,16,3,42.73,116.76,452.62,2.08
GA_Multiple_Runs_128times_9,242,34,14.05,9,25,0,40.15,103.44,440.98,2.08
GA_Multiple_Runs_128times_9,242,20,8.26,9,9,2,44.55,147.89,408.89,2.08
GA_Multiple_Runs_128times_9,242,27,11.16,13,14,0,27.76,96.25,407.43,2.08
GA_Multiple_Runs_128times_9,242,29,11.98,9,20,0,44.10,117.52,387.95,2.08
GA_Multiple_Runs_128times_9,242,32,13.22,14,16,2,42.49,107.53,383.75,2.08
