Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
GA_Multiple_Runs_128times_19,258,43,16.67,22,13,8,22.08,85.83,631.46,1.61
GA_Multiple_Runs_128times_19,258,52,20.16,20,19,13,28.00,72.32,619.01,1.61
GA_Multiple_Runs_128times_19,258,46,17.83,19,14,13,33.29,116.70,610.14,1.61
GA_Multiple_Runs_128times_19,258,35,13.57,13,14,8,28.15,89.04,599.16,1.61
GA_Multiple_Runs_128times_19,258,71,27.52,30,25,16,29.97,96.67,594.44,1.61
GA_Multiple_Runs_128times_19,258,58,22.48,22,17,19,33.22,79.96,565.63,1.61
GA_Multiple_Runs_128times_19,258,60,23.26,21,24,15,31.20,100.65,550.79,1.61
GA_Multiple_Runs_128times_19,258,62,24.03,25,17,20,31.80,93.39,543.37,1.61
GA_Multiple_Runs_128times_19,258,67,25.97,25,27,15,30.18,96.84,529.54,1.61
GA_Multiple_Runs_128times_19,258,75,29.07,32,24,19,34.42,119.30,513.74,1.61
GA_Multiple_Runs_128times_19,258,99,38.37,39,41,19,24.74,102.52,505.78,1.61
GA_Multiple_Runs_128times_19,258,101,39.15,42,44,15,34.95,137.98,486.58,1.61
GA_Multiple_Runs_128times_19,258,130,50.39,45,55,30,36.08,112.86,488.99,1.61
GA_Multiple_Runs_128times_19,258,120,46.51,42,56,22,26.97,94.87,476.05,1.61
GA_Multiple_Runs_128times_19,258,120,46.51,36,55,29,48.34,125.30,466.57,1.61
GA_Multiple_Runs_128times_19,258,137,53.10,54,57,26,32.80,122.04,458.56,1.61
GA_Multiple_Runs_128times_19,258,154,59.69,58,68,28,27.64,90.61,455.10,1.61
GA_Multiple_Runs_128times_19,258,146,56.59,39,64,43,38.52,96.89,436.36,1.61
GA_Multiple_Runs_128times_19,258,181,70.16,42,75,64,47.31,133.10,414.75,1.61
GA_Multiple_Runs_128times_20,252,8,3.17,5,2,1,8.07,34.98,700.00,1.86
GA_Multiple_Runs_128times_20,252,3,1.19,0,2,1,24.01,47.20,690.84,1.86
GA_Multiple_Runs_128times_20,252,7,2.78,3,1,3,30.12,74.04,681.09,1.86
GA_Multiple_Runs_128times_20,252,5,1.98,4,1,0,6.56,31.37,659.99,1.86
GA_Multiple_Runs_128times_20,252,6,2.38,3,1,2,18.94,61.70,634.22,1.86
GA_Multiple_Runs_128times_20,252,10,3.97,3,4,3,23.29,64.48,612.68,1.86
GA_Multiple_Runs_128times_20,252,12,4.76,8,3,1,9.29,55.85,583.99,1.86
GA_Multiple_Runs_128times_20,252,12,4.76,7,1,4,19.27,64.26,556.29,1.86
